env,family,param,planner,K,seed,success,search_time,total_time,path_length,waypoints,nodes,iterations,error
clutter_n005.yaml,clutter,5.0,rrt,5,16,1,0.2003,0.2006,340.0,35,39,39,
clutter_n005.yaml,clutter,5.0,rrt,5,17,1,0.2006,0.2009,364.252,38,40,23,
clutter_n005.yaml,clutter,5.0,rrt,5,18,1,0.1582,0.1585,356.024,37,48,16,
clutter_n005.yaml,clutter,5.0,rrt,5,19,1,0.1075,0.1077,325.874,34,34,19,
clutter_n005.yaml,clutter,5.0,rrt,5,20,1,0.1636,0.164,367.501,38,47,36,
clutter_n005.yaml,clutter,5.0,rrt,5,21,1,0.1963,0.1968,385.868,40,50,52,
clutter_n005.yaml,clutter,5.0,rrt,5,22,1,0.1911,0.1916,430.0,44,61,25,
clutter_n005.yaml,clutter,5.0,rrt,5,23,1,0.4199,0.4206,480.0,49,90,120,
clutter_n005.yaml,clutter,5.0,rrt,5,24,1,0.14,0.1405,309.682,32,32,32,
clutter_n005.yaml,clutter,5.0,rrt,5,25,1,0.1548,0.1552,350.0,36,36,15,
clutter_n005.yaml,clutter,5.0,rrt,5,26,1,0.3032,0.3037,357.604,38,56,66,
clutter_n005.yaml,clutter,5.0,rrt,5,27,1,0.2414,0.2421,377.388,39,40,21,
clutter_n005.yaml,clutter,5.0,rrt,5,28,1,0.2539,0.2542,348.448,36,47,121,
clutter_n005.yaml,clutter,5.0,rrt,5,29,1,0.6623,0.6627,474.129,49,142,63,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,0,1,0.2787,0.2791,404.389,42,62,56,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,1,1,0.2392,0.2394,412.218,43,65,62,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,2,1,0.1592,0.1594,434.771,45,53,34,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,3,1,0.1644,0.1647,402.678,42,52,34,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,4,1,0.3012,0.3019,464.706,48,65,61,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,5,1,0.2456,0.2461,425.204,44,59,54,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,6,1,0.329,0.3293,437.408,45,92,114,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,7,1,0.1901,0.1903,388.572,40,61,56,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,8,1,0.214,0.2142,422.196,44,62,48,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,9,1,0.1716,0.172,362.041,38,49,26,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,10,1,0.2726,0.2731,395.967,41,54,42,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,11,1,0.2389,0.2393,404.394,42,54,40,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,12,1,0.2522,0.2527,416.026,43,53,36,
